"age_group","value","state","substance"
18to25,7,Kentucky,meth
26plus,37,Kentucky,meth
All,45,Kentucky,meth
12to17,1,Louisiana,meth
18to25,3,Louisiana,meth
26plus,27,Louisiana,meth
All,30,Louisiana,meth
12to17,0,Maine,meth
18to25,1,Maine,meth
26plus,5,Maine,meth
All,6,Maine,meth
12to17,0,Maryland,meth
18to25,2,Maryland,meth
26plus,13,Maryland,meth
All,16,Maryland,meth
12to17,1,Massachusetts,meth
18to25,3,Massachusetts,meth
26plus,17,Massachusetts,meth
All,20,Massachusetts,meth
12to17,1,Michigan,meth
18to25,6,Michigan,meth
26plus,24,Michigan,meth
All,32,Michigan,meth
12to17,1,Minnesota,meth
18to25,5,Minnesota,meth
26plus,31,Minnesota,meth
All,37,Minnesota,meth
12to17,0,Mississippi,meth
18to25,2,Mississippi,meth
26plus,20,Mississippi,meth
All,23,Mississippi,meth
12to17,1,Missouri,meth
